DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL label1

#dataset color (can be changed later)
COLOR #7fcdbb

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES 0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE Dataset_legend
LEGEND_SHAPES 1 1 2 2
LEGEND_COLORS #ff0000 #00ff00 rgba(0,255,0,0.5) #0000ff
LEGEND_LABELS value1 value2 value3 value4

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
STRIP_WIDTH 35

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)

GCF_000423825.1|Proteobacteria_Acidithiobacillia_Acidithiobacillales #ffed6f Endonuclease III
GCF_000376785.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_002863865.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_000691225.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_900107855.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_001995095.2|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_000422865.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_001562015.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_000428585.1|Proteobacteria_Gammaproteobacteria_Oceanospirillales #ffed6f Endonuclease III
GCF_900105005.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000939975.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_001449865.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000955805.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000349845.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_900099785.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_900099945.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000689415.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_001446935.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000798915.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000297075.2|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_002037565.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000016565.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_900119125.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_900103725.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
