GCF_000006665.1,WP_000133194.1,electron transport complex subunit RsxA,2380686,2381267,+
GCF_000006665.1,WP_000991827.1,electron transport complex subunit RsxB,2381267,2381845,+
GCF_000006665.1,WP_000915696.1,electron transporter RsxC,2381838,2384060,+
GCF_000006665.1,WP_000231928.1,electron transport complex subunit D,2384061,2385119,+
GCF_000006665.1,WP_000920789.1,electron transport complex subunit G,2385123,2385743,+
GCF_000006665.1,WP_001289657.1,electron transporter RsxE,2385747,2386442,+
GCF_000006825.1,WP_005726063.1,electron transport complex subunit RsxE,450685,451413,-
GCF_000006825.1,WP_005753753.1,electron transport complex subunit G,451416,452024,-
GCF_000006825.1,WP_010906617.1,electron transport complex subunit D,452034,453083,-
GCF_000006825.1,WP_010906618.1,electron transport complex subunit RsxC,453098,455605,-
GCF_000006825.1,WP_005751301.1,electron transport complex subunit B,455610,456206,-
GCF_000006825.1,WP_005721600.1,electron transport complex subunit A,456203,456781,-
GCF_000007585.1,WP_005874160.1,4Fe-4S dicluster domain-containing protein,338791,339663,+
GCF_000007585.1,WP_005874196.1,electron transport complex subunit RsxC,339699,341030,+
GCF_000007585.1,WP_004584789.1,electron transport complex%2C RnfABCDGE type%2C D subunit,341046,342029,+
GCF_000007585.1,WP_005874238.1,FMN-binding protein,342026,342703,+
GCF_000007585.1,WP_004584791.1,electron transport complex subunit RsxE,342700,343290,+
GCF_000007585.1,WP_005874209.1,electron transport complex protein RnfA,343315,343887,+
GCF_000007745.1,WP_011200094.1,electron transport complex subunit RsxE,896161,896808,-
GCF_000007745.1,WP_011200095.1,electron transport complex subunit RsxG,896845,897438,-
GCF_000007745.1,WP_011200096.1,electron transport complex subunit D,897438,898502,-
GCF_000007745.1,WP_011200097.1,electron transport complex subunit RsxC,898519,900690,-
GCF_000007745.1,WP_011200098.1,electron transport complex subunit RsxB,900694,901284,-
GCF_000007745.1,WP_011200099.1,electron transport complex subunit RsxA,901299,901880,-
GCF_000009685.1,WP_011010211.1,FMN-binding protein,1269992,1271026,+
GCF_000009685.1,WP_011010212.1,electron transport complex subunit RsxE,1271044,1271712,+
GCF_000009685.1,WP_011010213.1,electron transport complex protein RnfA,1271741,1272316,+
GCF_000009685.1,WP_011010214.1,4Fe-4S dicluster domain-containing protein,1272333,1273139,+
GCF_000009685.1,WP_011010432.1,electron transport complex subunit RsxC,1661680,1662990,+
GCF_000009685.1,WP_011010433.1,NADH:ubiquinone oxidoreductase,1663004,1663984,+
GCF_000009985.1,WP_011384994.1,electron transport complex subunit RsxA,2801146,2801727,+
GCF_000009985.1,WP_011384995.1,electron transporter RnfB,2801741,2802277,+
GCF_000009985.1,WP_011384996.1,electron transport complex subunit RsxC,2802291,2803787,+
GCF_000009985.1,WP_011384997.1,electron transporter RnfD,2803784,2804860,+
GCF_000009985.1,WP_011384998.1,electron transport complex subunit RsxG,2804857,2805489,+
GCF_000009985.1,WP_011384999.1,electron transport complex subunit E,2805489,2806160,+
GCF_000010265.1,WP_012101650.1,electron transport complex subunit RsxC,1301816,1303174,+
GCF_000010265.1,WP_012101651.1,NADH:ubiquinone oxidoreductase,1303194,1304186,+
GCF_000010265.1,WP_012101652.1,FMN-binding protein,1304275,1304823,+
GCF_000010265.1,WP_012101653.1,electron transport complex subunit RsxE,1304826,1305467,+
GCF_000010265.1,WP_012101654.1,electron transport complex subunit RsxA,1305467,1306048,+
GCF_000010265.1,WP_012101655.1,protein RnfB,1306064,1306921,+
GCF_000010385.1,WP_000133193.1,electron transport complex subunit A,1839276,1839857,+
GCF_000010385.1,WP_000991809.1,electron transport complex subunit RsxB,1839857,1840435,+
GCF_000010385.1,WP_000915689.1,electron transporter RsxC,1840428,1842650,+
GCF_000010385.1,WP_000231922.1,electron transport complex subunit D,1842651,1843709,+
GCF_000010385.1,WP_000920805.1,electron transport complex subunit RsxG,1843713,1844333,+
GCF_000010385.1,WP_001289654.1,electron transporter RsxE,1844337,1845032,+
GCF_000010985.1,WP_013007229.1,electron transport complex subunit RsxC,467781,469088,+
GCF_000010985.1,WP_013007230.1,NADH:ubiquinone oxidoreductase,469075,470070,+
